system:index,distance_dep,distance_nac,distance_vec,elevation,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
0,6526.191698785321,22694.422974143527,6698.872847256175,393,-13.039874999999995,-70.578375,0,31.5,1669,1571.5,97.5,-6.2,5.4300985,
1,26487.997685683782,1269425.1426474955,2491.5733403835925,330,-12.905375000000006,-70.60912499999999,0,2.0,1669,1571.5,97.5,26.0,3.3671362,
2,2008.8399748196953,18685.680360441595,649.2655531790685,417,-13.008875000000003,-70.515875,0,0.0,1669,1571.5,97.5,0.0,3.401341,
3,1269381.8272598935,2983.867374244385,7070.007579137903,257,-12.922875000000005,-69.993375,0,-23.5,1669,1571.5,97.5,14.1,1.9024856,
4,13737.740480995895,1269505.419344683,6328.457725724277,303,-12.872875000000008,-70.493625,0,-12.5,1669,1571.5,97.5,7.5,0.0,
5,16775.63464748585,1269520.8546036184,3140.310486233992,300,-12.866624999999999,-70.522875,0,0.0,1669,1571.5,97.5,0.0,1.8543341,
6,1269445.5349583102,0.0,4525.91714928989,245,-12.897125000000003,-70.074625,0,33.0,1669,1571.5,97.5,34.3,1.9022912,
7,13838.745775985039,1269862.3955756377,1703.8158530009925,285,-12.727374999999995,-70.540375,0,163.5,1669,1571.5,97.5,-27.8,2.0835671,
8,7866.2290527607975,27781.945187475667,8647.306309511792,420,-12.995125000000002,-70.607625,0,92.0,1669,1571.5,97.5,-12.1,7.581736,
9,1269446.154466423,637.1592379705799,5345.897529005303,251,-12.896875000000009,-69.994125,0,-88.5,1669,1571.5,97.5,82.3,3.8003936,
10,7198.646977294478,26013.088968638607,5060.496821442929,350,-12.925624999999997,-70.532125,0,0.0,1669,1571.5,97.5,0.0,1.3285913,
11,1269748.7480416084,13353.769239679717,7405.79844699903,244,-12.773875000000004,-69.925375,0,-1.0,1669,1571.5,97.5,1.4,3.399102,
12,13215.2507104607,1269855.0671132144,992.9367540699698,279,-12.730374999999995,-70.53462499999999,0,261.0,1669,1571.5,97.5,-43.0,2.6547005,
13,4090.245683024133,25186.371472605075,4514.898892178185,356,-12.970124999999996,-70.560875,0,0.0,1669,1571.5,97.5,0.0,2.0839856,
14,11594.745363282786,1269998.6869477213,2959.7981523305034,274,-12.671374999999998,-70.516875,0,-2.5,1669,1571.5,97.5,14.4,2.0834715,
15,1269393.598453077,2792.6899837717374,4663.886664909442,258,-12.918125000000003,-70.049125,0,0.0,1669,1571.5,97.5,1.3,0.0,
16,18836.839836355455,1269684.4361656592,4301.604875892343,304,-12.800125000000008,-70.569375,0,163.0,1669,1571.5,97.5,-12.3,0.95103973,
17,14054.249250219831,1269780.5414736809,367.6207251483433,288,-12.760874999999999,-70.53762499999999,0,-54.0,1669,1571.5,97.5,37.7,3.9787414,
18,11228.978144316043,1269639.0132952603,2916.158428812398,311,-12.818624999999997,-70.477875,0,32.5,1669,1571.5,97.5,-0.4,2.9379888,
19,1269488.7449243257,1342.3321813618375,2874.3381424921554,255,-12.879625000000004,-70.065625,0,-27.5,1669,1571.5,97.5,24.9,3.9797015,
20,14766.505125224494,1269738.9414652302,446.0385993710704,294,-12.777875000000009,-70.538625,0,-92.0,1669,1571.5,97.5,67.5,2.7802885,
21,13808.016223469174,1269711.3794186758,301.39272443245926,288,-12.789124999999999,-70.523375,0,-24.0,1669,1571.5,97.5,70.9,3.3992462,
22,7201.6064188035525,26226.47285117423,4753.051743469519,348,-12.926375000000007,-70.535625,0,0.0,1669,1571.5,97.5,0.0,8.695656,
23,12036.270122251764,1269593.5371800754,4975.743845629694,314,-12.837125,-70.482625,0,-15.5,1669,1571.5,97.5,9.3,1.3283513,
24,21305.663655664157,1269473.3608995336,306.2764930943411,297,-12.885874999999999,-70.561875,0,-2.5,1669,1571.5,97.5,15.3,4.1621804,
25,9460.280245627275,30170.004957688896,1569.0210255562845,339,-12.924875,-70.58212499999999,0,-12.5,1669,1571.5,97.5,13.6,13.867594,
26,1269456.6860580856,245.0179760624718,3330.9155274087066,258,-12.892624999999995,-70.012625,0,-51.5,1669,1571.5,97.5,39.8,6.3250294,
27,1348.6325652832866,12220.245889350648,2973.55690975583,375,-13.028125000000003,-70.454875,0,8.0,1669,1571.5,97.5,-0.8,0.9519079,
28,6601.197784562887,1269832.4621528357,4809.725528339323,299,-12.739625000000004,-70.472875,0,0.0,1669,1571.5,97.5,0.0,2.1149511,
29,1269643.297567217,8380.031498841148,6303.6537861903835,250,-12.816874999999996,-69.910875,0,0.0,1669,1571.5,97.5,0.0,2.0837204,
30,1269589.2011203547,6144.744983741975,10151.023450649795,238,-12.838875000000002,-69.945125,0,197.0,1669,1571.5,97.5,-44.3,3.91042,
31,1250.2678437648244,19748.160247671796,319.3917238160493,406,-13.008875000000003,-70.528375,0,0.5,1669,1571.5,97.5,-0.1,7.0568504,
32,3594.305901086258,18169.012911114507,1705.2314000230326,464,-13.030875000000009,-70.526625,0,3.0,1669,1571.5,97.5,-0.9,2.9382498,
33,3563.027818903643,10693.011719565524,4393.4307592337955,483,-13.053125000000009,-70.457875,0,-4.0,1669,1571.5,97.5,14.3,1.9034828,
34,11989.964050939021,31589.740039811946,10847.562507570623,339,-12.991375000000005,-70.645125,0,1.0,1669,1571.5,97.5,-0.2,0.9517672,
35,6771.894397856317,11134.270150239008,5472.222048972361,549,-13.074875000000006,-70.47812499999999,0,8.5,1669,1571.5,97.5,14.7,3.3678682,
36,19287.041362269323,1269427.6207179406,2748.7559431801974,304,-12.904375000000002,-70.543375,0,-52.5,1669,1571.5,97.5,33.9,3.3671327,
37,1269415.2303173402,2598.723218375257,3796.0735689999165,255,-12.909374999999997,-70.026625,0,0.0,1669,1571.5,97.5,0.0,3.979943,
38,22580.719672220486,1269624.8699333903,5608.45721029082,312,-12.824375000000003,-70.595375,0,-1.0,1669,1571.5,97.5,0.6,1.8543341,
39,1269484.4601307826,590.0943366715825,2487.469625653709,249,-12.881375000000006,-70.016375,0,-12.5,1669,1571.5,97.5,27.6,4.8352356,
40,1269484.4601307826,2451.6112362457725,11776.742786854293,257,-12.881375000000006,-69.930375,0,-1.5,1669,1571.5,97.5,0.9,2.6555154,
41,17763.449509586088,1269410.2741232372,4306.342792635146,341,-12.911375000000007,-70.528875,0,0.0,1669,1571.5,97.5,0.0,14.101473,
42,24300.69879770211,1269443.6764321576,1403.769702249313,320,-12.897874999999999,-70.589375,0,190.5,1669,1571.5,97.5,-25.5,2.998653,
43,18550.92518956054,1269477.0262377942,1977.3282666200394,323,-12.884375000000006,-70.536625,0,0.0,1669,1571.5,97.5,0.2,3.367047,
44,9648.186283571642,1269859.918353635,1836.1749287964435,281,-12.728375,-70.50212499999999,0,16.5,1669,1571.5,97.5,13.5,3.398673,
45,27862.271473355653,1269460.970945374,4407.1043828552365,381,-12.890875000000008,-70.621875,0,-57.0,1669,1571.5,97.5,36.1,7.921547,
46,1269376.8709353702,3273.5589233521064,5656.323581185762,256,-12.924875,-70.057625,0,-1.5,1669,1571.5,97.5,2.2,2.6557524,
47,1269295.6051045666,5061.959086987947,11071.198342270214,266,-12.957625000000007,-70.099375,0,0.0,1669,1571.5,97.5,0.0,1.3286786,
48,9165.728256735432,1269711.9987970798,0.0,305,-12.788875000000004,-70.475875,0,-75.0,1669,1571.5,97.5,66.4,5.090973,
49,11892.08907959413,1269962.822215272,1343.1130726152874,259,-12.686125000000004,-70.515875,0,50.5,1669,1571.5,97.5,-6.0,5.547545,
50,25752.058777982926,1269444.2959411775,2252.27835818186,379,-12.897625000000005,-70.602625,0,68.5,1669,1571.5,97.5,-3.1,8.28097,
51,1269428.240234796,2191.6294947143897,3119.702715379886,258,-12.904125000000008,-70.03037499999999,0,-0.5,1669,1571.5,97.5,0.3,4.2263765,
52,15886.872508591743,1269766.5029135125,798.8558063663519,301,-12.766625000000005,-70.553375,0,108.5,1669,1571.5,97.5,-21.1,0.9509142,
53,1269373.773222716,3191.2623821420266,6140.8316204702105,260,-12.926124999999999,-70.065375,0,-89.5,1669,1571.5,97.5,53.7,1.3285929,
54,22411.728388428444,1269581.8194608134,3503.0098530431765,310,-12.841875000000002,-70.584625,0,105.5,1669,1571.5,97.5,-27.3,3.3997457,
55,7924.398706679692,1269752.412584921,1562.0531050364777,294,-12.772374999999997,-70.471125,0,0.0,1669,1571.5,97.5,0.0,2.0836442,
56,2684.07843256592,21127.000566777304,2802.8690149062763,420,-13.017875000000004,-70.550375,0,0.0,1669,1571.5,97.5,0.0,6.712132,
57,7218.104951982852,28255.596105994915,6125.360409831374,366,-12.966625000000008,-70.593875,0,-1.5,1669,1571.5,97.5,0.9,11.929159,
58,1269258.3264071234,8796.95428608253,10490.524077106611,262,-12.972625000000008,-70.03937499999999,0,-2.0,1669,1571.5,97.5,1.5,0.95169485,
59,1269669.0545119725,9707.320450105935,8384.902978667667,242,-12.806375000000003,-69.961375,0,-6.0,1669,1571.5,97.5,3.6,2.8510978,
60,1269553.4796838858,4626.344670202094,8102.251135955536,246,-12.853375,-69.96187499999999,0,528.5,1669,1571.5,97.5,-127.3,2.1157203,
61,20326.672784077262,1269455.4470518366,1186.8194827433279,320,-12.893124999999998,-70.553125,0,26.5,1669,1571.5,97.5,5.0,6.325041,
62,14800.422452972007,1269858.112042878,2379.4464639603716,296,-12.729124999999996,-70.549125,0,79.0,1669,1571.5,97.5,-9.6,2.9378803,
63,7264.343190228046,28349.366843698615,4274.1031372378675,338,-12.949875000000006,-70.581625,0,0.0,1669,1571.5,97.5,0.0,2.0839508,
64,1269308.6678793903,7002.851965952405,8351.587914981208,253,-12.952375000000004,-70.028125,0,-0.5,1669,1571.5,97.5,0.3,2.9381528,
65,1269401.6523644682,2622.9808082474738,5204.604436114793,249,-12.914874999999995,-70.010125,0,-196.5,1669,1571.5,97.5,123.8,2.1161408,
66,1269660.4861274278,8921.230564948353,6998.628309731374,244,-12.809875000000005,-69.974875,0,0.0,1669,1571.5,97.5,0.0,3.7990818,
