system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,landform,latitude,latitude_209564535,longitude,longitude_209564535,mined,offset,price_after,price_before,price_dif,scale,slope,type,type_prev,year,.geo
0,283,69.86204,20995,5725,35133,20995,0,23729,21669,31,-13.093394423684087,,-70.04658343686175,,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,4.6423335,0,0,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.04694412697081,-13.093721532571715]}"
1,285,97.2127,3272,3174,12725,3272,24514,5218,20927,34,-12.88139201663188,,-70.2460094299363,,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.3284707,0,0,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.24621891498016,-12.881823852109395]}"
2,257,96.987045,2348,2348,33035,2348,15751,2201,3188,24,-12.867018972085967,,-70.06005816612355,,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.92740995,0,0,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.05981926562114,-12.86718364279317]}"
3,248,109.93555,4330,0,55947,4330,11001,6013,12045,24,-12.931697672542573,,-69.84805575907134,,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.47580254,0,0,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.84798801676114,-12.931970863671637]}"
4,248,99.68588,6499,0,53732,6499,9047,9168,10974,34,-12.953257239361442,,-69.86961532589021,,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,3.453512,0,0,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.86990997521686,-12.953599066731304]}"
5,302,111.374886,10778,98,10720,41582,0,6975,3959,21,-12.606507539691306,,-70.50741917761508,,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,4.222374,0,0,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.50748685297258,-12.606265727932156]}"
6,418,104.101166,4810,13664,4810,12280,18618,5230,6197,31,-12.95774881578204,,-70.45891015227262,,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,4.7233777,0,0,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.45924582189475,-12.957474209676155]}"
7,251,88.59035,6130,0,41779,6130,6003,10591,6867,41,-12.953257239361442,,-69.97920979055279,,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.1164043,0,0,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.97914989175815,-12.952940250319598]}"
8,287,80.22011,2159,12415,2159,21009,19645,2772,14310,41,-12.74664472401395,,-70.37087525442891,,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.6641429,0,0,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.37072039092095,-12.746679287397408]}"
9,410,0.7497453,2361,15765,2361,15647,19811,220,2721,31,-13.018834255102167,,-70.49304613306916,,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.9588225,0,0,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.49334590043144,-13.018571772949237]}"
